,Alamat,Email,Kategori,Kode Kategori,Nama Perusahaan,Status Badan Usaha,Telp1,Telp2,Telp3,Website
1203,"JL JENDERAL SUDIRMAN RT. 03/RW. 08, KRANJI, KEC. PURWOKERTO TIMUR, KAB. BANYUMAS 53116",,"Kesenian, Hiburan, dan Rekreasi",,KARAOKE B'FUN,None,,,,
1204,"DSN JETAK RT. 05/RW. 02, DUREN, KEC. BANDUNGAN, KAB. SEMARANG 50665",,"Kesenian, Hiburan, dan Rekreasi",,KARAOKE DINASTY,None,,,,
1205,"JL ARGOREJO NO 9 RT. 05/RW. 04, KALIBANTENG KULON, KEC. SEMARANG BARAT, KOTA SEMARANG 50145",,"Kesenian, Hiburan, dan Rekreasi",,KARAOKE QU,None,082323818282,,,
1206,"JL SERMA MUKLAS RT. 03/RW. 08, KUTABANJARNEGARA, KEC. BANJARNEGARA, KAB. BANJARNEGARA 53418",,"Kesenian, Hiburan, dan Rekreasi",,KARAOKE STARLIGHT,None,085292428769,,,
1207,"JL LINGKAR TIMUR NO 68 RT. 06/RW. 11, MENGANTI, KEC. KESUGIHAN, KAB. CILACAP 53274",,"Kesenian, Hiburan, dan Rekreasi",,KAROKE BROMO 2,None,085726261988,,,
1208,"RONGGO, KEC. JAKEN, KAB. PATI",,"Kesenian, Hiburan, dan Rekreasi",,KESENIAN KETOPRAK RONGGO BUDOYO,None,08122905996,,,
1209,"GARDU PANDANG KETEP PASS RT. 06/RW. 03, KETEP, KEC. SAWANGAN, KAB. MAGELANG 56481",keteppass.mgl@yahoo.com,"Kesenian, Hiburan, dan Rekreasi",,KETEP PASS,None,,,,
1210,"LARIS SWALAYAN, JL KS TUBUN NO 1 RT. 06/RW. 06, TEMANGGUNG II, KEC. TEMANGGUNG, KAB. TEMANGGUNG 56213",,"Kesenian, Hiburan, dan Rekreasi",,KIDS FUN,None,085729824480,,,
1211,"JL A YANI NO 308 RT. 02/RW. 10, PABELAN, KEC. KARTASURA, KAB. SUKOHARJO 57162",,"Kesenian, Hiburan, dan Rekreasi",,KIDS FUN,None,0271-743172,,,
1212,"JL SUKARNO HATTA KM 6 RT. 01/RW. 01, LANGON, KEC. TAHUNAN, KAB. JEPARA 59425",,"Kesenian, Hiburan, dan Rekreasi",,KIDS FUN PARCS,None,0291-591802,,,
1213,"GATOT SUBROTO RT. 01/RW. 5, BANDARJO, KEC. UNGARAN BARAT, KAB. SEMARANG",info@kidsfun.co.id,"Kesenian, Hiburan, dan Rekreasi",,KIDS FUN,PT,027-44353435,,,www.kids.co.id
1214,"JL JEND GATOT SUBROTO, GAUM, KEC. TASIKMADU, KAB. KARANGANYAR 57722",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM RENANG INTAN PARI,None,,,,
1215,"PERUM SEMARANG INDAH BLOK E 11 NO 72 RT. 02/RW. 10, TAWANGMAS, KEC. SEMARANG BARAT, KOTA SEMARANG 50144",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM RENANG SPORT CLUB,None,024-619278,,,
1216,"JL TAMAN SARI MAJAPAHIT RT. 04/RW. 06, PEDURUNGAN LOR, KEC. PEDURUNGAN, KOTA SEMARANG 50192",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM RENANG TAMAN SARI (SPORT CLUB),None,085226170098,,,
1217,"KOMP PERTOKOAN NGALIYAN TIRTA INDAH RT. 06/RW. 01, NGALIYAN, KEC. NGALIYAN, KOTA SEMARANG 50181",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM RENANG TIRTA INDAH,None,024-7601105,,,
1218,"JL RAYA TOBONG RT. 13/RW. 7, KUTASARI, KEC. KUTASARI, KAB. PURBALINGGA 53361",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM RENANG TIRTO ASRI WALIK,None,0281-6599313,,,
1219,"JL MENTERI SUPENO NO 14 RT. 02/RW. 06, MANAHAN, KEC. BANJARSARI, KOTA SURAKARTA 57139",,"Kesenian, Hiburan, dan Rekreasi",,KOLAM TERTOMOYO,None,0271-717802,,,
1220,"SINGOCANDI, KEC. KOTA KUDUS, KAB. KUDUS",,"Kesenian, Hiburan, dan Rekreasi",,KUDUS MEDIA MULTISARANA,PT,0291-4250042,,,
1221,"JL PEMUDA NO 160, SEKAYU, KEC. SEMARANG TENGAH, KOTA SEMARANG 50132",@gmail.com,"Kesenian, Hiburan, dan Rekreasi",,LAWANG SEWU,PT,024-3562661,024-3562661,,
1222,"GRAND GREENWOOD BOULEVARD BLOK B NO 1 RT. 05/RW. 07, SADENG, KEC. GUNUNG PATI, KOTA SEMARANG 50222",,"Kesenian, Hiburan, dan Rekreasi",,LINTAS SENTOSA,PT,0247-6670665,,,
1223,"JL TELAGA MAS RAYA NO 1B RT. 06/RW. 01, PANGGUNG LOR, KEC. SEMARANG UTARA, KOTA SEMARANG 50177",,"Kesenian, Hiburan, dan Rekreasi",,LIVE,None,024-3562058,,,
1224,"KARANGMANGU, KEC. BATURRADEN, KAB. BANYUMAS",,"Kesenian, Hiburan, dan Rekreasi",,LOKAWISATA BATURRADEN,None,0281-681926,,,
1225,"LINGKUNGAN MENDUT 2 RT. 9/RW. 04, MENDUT, KEC. MUNGKID, KAB. MAGELANG 56512",,"Kesenian, Hiburan, dan Rekreasi",,LOKET CANDI MENDUT,None,082134316389,,,
1226,"DSN DARUM RT. 03/RW. 09, CANDI, KEC. BANDUNGAN, KAB. SEMARANG 50665",,"Kesenian, Hiburan, dan Rekreasi",,LOKET PARIWISATA,None,,,,
1227,"JL YOS SUDARSO SUMBERJO RT. 01/RW. 3, SUMBERJO, KEC. REMBANG, KAB. REMBANG 59216",,"Kesenian, Hiburan, dan Rekreasi",,MANTINGAN KARYA ADITYA,PT,029-691454,,,
1228,"HARTONO MALL LT 2 RT. 05/RW. 04, MADEGONDO, KEC. GROGOL, KAB. SUKOHARJO 57552",,"Kesenian, Hiburan, dan Rekreasi",,MELLY GLOW,None,0271-7891222,,,
1229,"PERTOKOAN SIMPANGLIMA BLOK B NO 5-8 RT. 01/RW. 04, PLEBURAN, KEC. SEMARANG SELATAN, KOTA SEMARANG 50241",,"Kesenian, Hiburan, dan Rekreasi",,MISS LOCUS,None,024-8454937,,,
1230,"JL HASANUDIN NO 117 RT. 02/RW. 16, MANGUNSARI, KEC. SIDOMUKTI, KOTA SALATIGA 50721",,"Kesenian, Hiburan, dan Rekreasi",,MONALISA CAFÉ & RESTORAN,None,085640906766,,,
1231,"JL DIPONEGORO RT. 06/RW. 04, SINDANGSARI, KEC. MAJENANG, KAB. CILACAP 53257",,"Kesenian, Hiburan, dan Rekreasi",,MR GAME (MITRA GAMESINDO,CV),,,,
1232,"JL SETIABUDI TAMAN TABANAS GOMBEL RT. 04/RW. 04, NGESREP, KEC. BANYUMANIK, KOTA SEMARANG 50261",,"Kesenian, Hiburan, dan Rekreasi",,MR LOCUS FAMILY KARAOKE GOMBEL,None,024-7465578,,,
1233,"JL SLAMET RIYADI NO 210 RT. 03/RW. 03, SRIWEDARI, KEC. LAWEYAN, KOTA SURAKARTA 54141",,"Kesenian, Hiburan, dan Rekreasi",,MUSEUM BATIK KUNO DANAR HADI,None,0271-713140,,,
1234,"JL SOEKARNO HATTA NO 23, SAWITAN, KEC. MUNGKID, KAB. MAGELANG",,"Kesenian, Hiburan, dan Rekreasi",,MUSEUM HIDAYAT,None,0293-788251,,,
1235,"GETAS PEJATEN, KEC. JATI, KAB. KUDUS",,"Kesenian, Hiburan, dan Rekreasi",,MUSEUM KRETEK,None,085742282878,,,
1236,"RUKO SATRIA PLAZA BLOK AB 7-8, JL JENDRAL SUDIRMAN RT. 02/RW. 08, PURWOKERTO LOR, KEC. PURWOKERTO TIMUR, KAB. BANYUMAS 53114",info@hapmpuppy.com,"Kesenian, Hiburan, dan Rekreasi",,NADA SUARA CEMERLANG (HAPPY PUPPY),None,0281-628272,,,www.happtpuppy.co.id
1237,"JL URIP SUMOHARJO RT. 03/RW. 02, PURWODININGRATAN, KEC. JEBRES, KOTA SURAKARTA 57128",,"Kesenian, Hiburan, dan Rekreasi",,NAV KARAOKE,PT,0271-666732,,,
1238,"METRO PLASA BLOK A 5-6, JL MT HARYONO NO 970 RT. 01/RW. 06, LAMPER KIDUL, KEC. SEMARANG SELATAN, KOTA SEMARANG 50249",,"Kesenian, Hiburan, dan Rekreasi",,NAV KARAOKE,PT,024-8417825,,,
1239,"JL ALTERNATIF BANDUNGAN RT. 3/RW. 7, BANDUNGAN, KEC. BANDUNGAN, KAB. SEMARANG 50665",,"Kesenian, Hiburan, dan Rekreasi",,NUMBER ONE KARAOKE,None,0298-711737,,,
1240,"DSN 2 RT. 03/RW. 03, BOJONGSARI, KEC. BOJONGSARI, KAB. PURBALINGGA 53362",,"Kesenian, Hiburan, dan Rekreasi",,OWABONG WATER PARK,None,08112619482,,,
1241,"JL WANAWISATA RT. 05/RW. 04, KEMUTUG LOR, KEC. BATURRADEN, KAB. BANYUMAS 53151",,"Kesenian, Hiburan, dan Rekreasi",,PALAWI RISORSIS (BUMPER),PT,0281-681616,,,
1242,"JL WANAWISATA RT. 05/RW. 04, KEMUTUG LOR, KEC. BATURRADEN, KAB. BANYUMAS 53151",,"Kesenian, Hiburan, dan Rekreasi",,PALAWI RISORSIS (OUTBOND),PT,0281-081616,,,
1243,"JL WANAWISATA RT. 05/RW. 04, KEMUTUG LOR, KEC. BATURRADEN, KAB. BANYUMAS 53151",,"Kesenian, Hiburan, dan Rekreasi",,PALAWI RISORSIS,PT,0281-681616,,,
1244,"JL CEMARA RAYA SOLO BARU RT. 06/RW. 03, GEDANGAN, KEC. GROGOL, KAB. SUKOHARJO",,"Kesenian, Hiburan, dan Rekreasi",,PANDAWA BINA SUKSES,PT,,,,
1245,"JL GUMUK SARI RT. 11/RW. 01, LOPAIT, KEC. TUNTANG, KAB. SEMARANG 50773",,"Kesenian, Hiburan, dan Rekreasi",,PANORAMA INDAH PERMAI,PT,085641885641,,,
1246,"JL KENDALISODO RT. 3/RW. 7, BANDUNGAN, KEC. BANDUNGAN, KAB. SEMARANG 50665",,"Kesenian, Hiburan, dan Rekreasi",,PARADISE KARAOKE,None,,,,
1247,"KOMP SIRANDU MALL, JL GATOT SUBROTO RT. 01/RW. 11, MULYOHARJO, KEC. PEMALANG, KAB. PEMALANG 52313",,"Kesenian, Hiburan, dan Rekreasi",,PARADISO LOUNGE KARAOKE,None,087830610106,,,
1248,"BASEH, KEC. KEDUNG BANTENG, KAB. BANYUMAS",cahayatrans@cahayaagung.com,"Kesenian, Hiburan, dan Rekreasi",,PARIWISATA BATUR AGUNG,None,085726511522,683930,,
1249,"JL BHAYANGKARA BARU NO 4 RT. 02/RW. 02, MANGUNJIWAN, KEC. DEMAK, KAB. DEMAK 59511",pdanekawirausaha@yahoo.co.id,"Kesenian, Hiburan, dan Rekreasi",,PD ANWUSA DEMAK,None,0291-685930,0291-685930,,
1250,"KOMP PIKATAN WATER PARK RT. 05/RW. 05, KAB. TEMANGGUNG",,"Kesenian, Hiburan, dan Rekreasi",,PD BHUMI PHALA WISATA,None,,,,
1251,"JL CEMPAKA NO 8 RT. 03/RW. 07, KEMIRIREJO, KEC. MAGELANG TENGAH, KOTA MAGELANG 56122",,"Kesenian, Hiburan, dan Rekreasi",,PDOW TAMAN KYAI LANGGENG MAGELANG,None,0293-364142,,,
1252,"DSN BLATER LOR RT. 02/RW. 06, JIMBARAN, KEC. BANDUNGAN, KAB. SEMARANG 50665",,"Kesenian, Hiburan, dan Rekreasi",,PEMANCINGAN SUHARNO 1,None,0298-711402,,,
1253,"DSN BLATER LOR RT. 04/RW. 06, JIMBARAN, KEC. BANDUNGAN, KAB. SEMARANG 50665",,"Kesenian, Hiburan, dan Rekreasi",,PEMANCINGAN SUHARNO 2,None,0298-7136345,,,
1254,"perpusarda.kebum JL VETERAN NO 24 KEBUMEN RT. 07/RW. 02, BUMIREJO, KEC. KEBUMEN, KAB. KEBUMEN 54316",,"Kesenian, Hiburan, dan Rekreasi",,PERPUSTAKAAN DAN ARSIP,None,0287-385662,,,
1255,"JL GAJAH MADA NO 73 RT. 01/RW. 08, KETELAN, KEC. BANJARSARI, KOTA SURAKARTA 57132",,"Kesenian, Hiburan, dan Rekreasi",,PERSIS SOLO SAESTU,PT,085867199495,,,
1256,"JL WIDOSARI 23 RT. 3/RW. 7, BANDUNGAN, KEC. BANDUNGAN, KAB. SEMARANG 50665",,"Kesenian, Hiburan, dan Rekreasi",,PESONA 3 KARAOKE,None,0298-712360,,,
1257,"KOMP PIKATAN WATERPARK MUDAL RT. 05/RW. 05, MUDAL, KEC. TEMANGGUNG, KAB. TEMANGGUNG 56228",,"Kesenian, Hiburan, dan Rekreasi",,PIKATAN WATER PARK,None,081568445460,,,
1258,"SETOS SQUARE, JL INSPEKSI GAJAHMADA LT 2-4 RT. 02/RW. 01, KEMBANGSARI, KEC. SEMARANG TENGAH, KOTA SEMARANG 50133",,"Kesenian, Hiburan, dan Rekreasi",,PLAY PLAY INDOOR THEME PARK,PT,024-86400445,,,
1259,"JL RINJANI NO 220 RT. 06/RW. 19, SIDANEGARA, KEC. CILACAP TENGAH, KAB. CILACAP 53223",,"Kesenian, Hiburan, dan Rekreasi",,PONDOK TIRTA MULYA,PT,0282-541461,,,
1260,"JL DIPONEGORO NO 8 RT. 01/RW. 10, TEGALSARI, KEC. CANDISARI, KOTA SEMARANG 50251",popsiranda@gmail.com,"Kesenian, Hiburan, dan Rekreasi",,POP KARAOKE SIRANDA,None,024-8417616,,,
1261,"SOLO PARAGON MALL, JL YOSODIPURO I NO 33 RT. 04/RW. 05, MANGKUBUMEN, KEC. BANJARSARI, KOTA SURAKARTA 57139",,"Kesenian, Hiburan, dan Rekreasi",,PRINCESS SYAHRINI,None,0271-7882033,,,
1262,"JL YOSODIPURO NO 125 RT. 03/RW. 13, MANGKUBUMEN, KEC. BANJARSARI, KOTA SURAKARTA 57139",,"Kesenian, Hiburan, dan Rekreasi",,RAINBOW FAMILY KARAOKE,None,,,,
1263,"DUREN, KEC. BANDUNGAN, KAB. SEMARANG",,"Kesenian, Hiburan, dan Rekreasi",,REGINA KARAOKE,None,,,,
1264,"JL JAGALAN NO 40 RT. 06/RW. 03, GABAHAN, KEC. SEMARANG TENGAH, KOTA SEMARANG 50135",rendezvous.smg@yahoo.com,"Kesenian, Hiburan, dan Rekreasi",,RENDEZVOUS KARAOKE,None,024-8565599,,,
1265,"JL TAMAN REPTIL RT. 20/RW. 10, KUTASARI, KEC. KUTASARI, KAB. PURBALINGGA 53361",sanggaluri@ow.com,"Kesenian, Hiburan, dan Rekreasi",,SANGGALURI,None,0281-6599238,,,sanggaluri.co.id
1266,"JL S PARMAN NO 49 RUKO BLOK 3 & 4 RT. 01/RW. 04, SIDANEGARA, KEC. CILACAP TENGAH, KAB. CILACAP",,"Kesenian, Hiburan, dan Rekreasi",,SAPPHIRE KTV,None,,,,sapphirektv123.com
1267,"ARTOS MALL, JL MAYJEND BAMBANG SUGENG NO 1 RT. 02/RW. 09, BANYUROJO, KEC. MERTOYUDAN, KAB. MAGELANG 56172",,"Kesenian, Hiburan, dan Rekreasi",,SEJONG BIO INDONESIA,PT,0213-0042056,,,
1268,"DSN 2 RT. 11/RW. 03, WONOKROMO, KEC. COMAL, KAB. PEMALANG 52363",,"Kesenian, Hiburan, dan Rekreasi",,SENIMAN WAYANG GOLEK (TARYONO),None,,,,
1269,"PERTOKOAN GAJAH MADA PLASA BLOK B 29 RT. 02/RW. 01, MUGASSARI, KEC. SEMARANG SELATAN, KOTA SEMARANG 50243",,"Kesenian, Hiburan, dan Rekreasi",,SINAR SAKTI PERKASA,PT,024-8452293,,,
1270,"RUKO PETERONGAN PLAZA BLOK C6 RT. 07/RW. 03, WONODRI, KEC. SEMARANG SELATAN, KOTA SEMARANG 50242",,"Kesenian, Hiburan, dan Rekreasi",,SINAR SEJARITERA (EMPORIUM),PT,,,,
1271,"DSN KRAJAN BARAT RT. 01/RW. 05, SAMBONGSARI, KEC. WELERI, KAB. KENDAL 51355",,"Kesenian, Hiburan, dan Rekreasi",,SIX WATER GAME,None,0294-641841,,,
1272,"JL SELAMANIK NO 69 RT. 06/RW. 02, KUTABANJARNEGARA, KEC. BANJARNEGARA, KAB. BANJARNEGARA 53415",,"Kesenian, Hiburan, dan Rekreasi",,SP KARAOKE (WAHONO),None,0286-5988728,,,
1273,"DSN PETORAN RT. 04/RW. 08, JEBRES, KEC. JEBRES, KOTA SURAKARTA 57126",,"Kesenian, Hiburan, dan Rekreasi",,SPORT CENTER (EDY),None,,,,
1274,"JL KUTOARJO-KEBUMEN KM 3,5 RT. 01/RW. 01, ANDONG, KEC. BUTUH, KAB. PURWOREJO 54264",sac.kta@gmail.com,"Kesenian, Hiburan, dan Rekreasi",,SUMBER ADVENTURE CENTER,CV,0275-3141252,,,
1275,"JL PALA RAYA SELATAN RT. 06/RW. 18, MEJASEM BARAT, KEC. KRAMAT, KAB. TEGAL 52181",,"Kesenian, Hiburan, dan Rekreasi",,SUPER GAME (KRISTIN),None,,,,
1276,"DP MALL LT 2, SEKAYU, KEC. SEMARANG TENGAH, KOTA SEMARANG 50132",,"Kesenian, Hiburan, dan Rekreasi",,SURYA KARYAMITRA ABADI,PT,024-86578008,,,
